Store,Dept,Date,Weekly_Sales,Size,Type_A,Type_B,Type_C,Temperature,Fuel_Price,CPI,Unemployment,IsHoliday
1,1,2/5/2010,24924.5,151315,1,0,0,42.31,2.572,211.0963582,8.106,0
1,1,2/12/2010,46039.49,151315,1,0,0,38.51,2.548,211.2421698,8.106,1
1,1,2/19/2010,41595.55,151315,1,0,0,39.93,2.514,211.2891429,8.106,0
1,1,2/26/2010,19403.54,151315,1,0,0,46.63,2.561,211.3196429,8.106,0
1,1,3/5/2010,21827.9,151315,1,0,0,46.5,2.625,211.3501429,8.106,0
1,1,3/12/2010,21043.39,151315,1,0,0,57.79,2.667,211.3806429,8.106,0
1,1,3/19/2010,22136.64,151315,1,0,0,54.58,2.72,211.215635,8.106,0
1,1,3/26/2010,26229.21,151315,1,0,0,51.45,2.732,211.0180424,8.106,0
1,1,4/2/2010,57258.43,151315,1,0,0,62.27,2.719,210.8204499,7.808,0
1,1,4/9/2010,42960.91,151315,1,0,0,65.86,2.77,210.6228574,7.808,0
1,1,4/16/2010,17596.96,151315,1,0,0,66.32,2.808,210.4887,7.808,0
1,1,4/23/2010,16145.35,151315,1,0,0,64.84,2.795,210.4391228,7.808,0
1,1,4/30/2010,16555.11,151315,1,0,0,67.41,2.78,210.3895456,7.808,0
1,1,5/7/2010,17413.94,151315,1,0,0,72.55,2.835,210.3399684,7.808,0
1,1,5/14/2010,18926.74,151315,1,0,0,74.78,2.854,210.3374261,7.808,0
1,1,5/21/2010,14773.04,151315,1,0,0,76.44,2.826,210.6170934,7.808,0
1,1,5/28/2010,15580.43,151315,1,0,0,80.44,2.759,210.8967606,7.808,0
1,1,6/4/2010,17558.09,151315,1,0,0,80.69,2.705,211.1764278,7.808,0
1,1,6/11/2010,16637.62,151315,1,0,0,80.43,2.668,211.4560951,7.808,0
1,1,6/18/2010,16216.27,151315,1,0,0,84.11,2.637,211.4537719,7.808,0
1,1,6/25/2010,16328.72,151315,1,0,0,84.34,2.653,211.3386526,7.808,0
1,1,7/2/2010,16333.14,151315,1,0,0,80.91,2.669,211.2235333,7.787,0
1,1,7/9/2010,17688.76,151315,1,0,0,80.48,2.642,211.108414,7.787,0
1,1,7/16/2010,17150.84,151315,1,0,0,83.15,2.623,211.1003854,7.787,0
1,1,7/23/2010,15360.45,151315,1,0,0,83.36,2.608,211.2351443,7.787,0
1,1,7/30/2010,15381.82,151315,1,0,0,81.84,2.64,211.3699032,7.787,0
1,1,8/6/2010,17508.41,151315,1,0,0,87.16,2.627,211.5046621,7.787,0
1,1,8/13/2010,15536.4,151315,1,0,0,87,2.692,211.6394211,7.787,0
1,1,8/20/2010,15740.13,151315,1,0,0,86.65,2.664,211.6033633,7.787,0
1,1,8/27/2010,15793.87,151315,1,0,0,85.22,2.619,211.5673056,7.787,0
1,1,9/3/2010,16241.78,151315,1,0,0,81.21,2.577,211.5312479,7.787,0
1,1,9/10/2010,18194.74,151315,1,0,0,78.69,2.565,211.4951902,7.787,1
1,1,9/17/2010,19354.23,151315,1,0,0,82.11,2.582,211.5224596,7.787,0
1,1,9/24/2010,18122.52,151315,1,0,0,80.94,2.624,211.5972246,7.787,0
1,1,10/1/2010,20094.19,151315,1,0,0,71.89,2.603,211.6719895,7.838,0
1,1,10/8/2010,23388.03,151315,1,0,0,63.93,2.633,211.7467544,7.838,0
1,1,10/15/2010,26978.34,151315,1,0,0,67.18,2.72,211.8137436,7.838,0
1,1,10/22/2010,25543.04,151315,1,0,0,69.86,2.725,211.8612937,7.838,0
1,1,10/29/2010,38640.93,151315,1,0,0,69.64,2.716,211.9088438,7.838,0
1,1,11/5/2010,34238.88,151315,1,0,0,58.74,2.689,211.9563939,7.838,0
1,1,11/12/2010,19549.39,151315,1,0,0,59.61,2.728,212.003944,7.838,0
1,1,11/19/2010,19552.84,151315,1,0,0,51.41,2.771,211.8896737,7.838,0
1,1,11/26/2010,18820.29,151315,1,0,0,64.52,2.735,211.7484333,7.838,1
1,1,12/3/2010,22517.56,151315,1,0,0,49.27,2.708,211.607193,7.838,0
1,1,12/10/2010,31497.65,151315,1,0,0,46.33,2.843,211.4659526,7.838,0
1,1,12/17/2010,44912.86,151315,1,0,0,49.84,2.869,211.4053124,7.838,0
1,1,12/24/2010,55931.23,151315,1,0,0,52.33,2.886,211.4051222,7.838,0
1,1,12/31/2010,19124.58,151315,1,0,0,48.43,2.943,211.4049321,7.838,1
1,1,1/7/2011,15984.24,151315,1,0,0,48.27,2.976,211.4047419,7.742,0
1,1,1/14/2011,17359.7,151315,1,0,0,35.4,2.983,211.4574109,7.742,0
1,1,1/21/2011,17341.47,151315,1,0,0,44.04,3.016,211.8272343,7.742,0
1,1,1/28/2011,18461.18,151315,1,0,0,43.83,3.01,212.1970577,7.742,0
1,1,2/4/2011,21665.76,151315,1,0,0,42.27,2.989,212.5668812,7.742,0
1,1,2/11/2011,37887.17,151315,1,0,0,36.39,3.022,212.9367046,7.742,1
1,1,2/18/2011,46845.87,151315,1,0,0,57.36,3.045,213.2478853,7.742,0
1,1,2/25/2011,19363.83,151315,1,0,0,62.9,3.065,213.535609,7.742,0
1,1,3/4/2011,20327.61,151315,1,0,0,59.58,3.288,213.8233327,7.742,0
1,1,3/11/2011,21280.4,151315,1,0,0,53.56,3.459,214.1110564,7.742,0
1,1,3/18/2011,20334.23,151315,1,0,0,62.76,3.488,214.3627114,7.742,0
1,1,3/25/2011,20881.1,151315,1,0,0,69.97,3.473,214.5999389,7.742,0
1,1,4/1/2011,20398.09,151315,1,0,0,59.17,3.524,214.8371664,7.682,0
1,1,4/8/2011,23873.79,151315,1,0,0,67.84,3.622,215.0743939,7.682,0
1,1,4/15/2011,28762.37,151315,1,0,0,71.27,3.743,215.2918561,7.682,0
1,1,4/22/2011,50510.31,151315,1,0,0,72.99,3.807,215.4599053,7.682,0
1,1,4/29/2011,41512.39,151315,1,0,0,72.03,3.81,215.6279544,7.682,0
1,1,5/6/2011,20138.19,151315,1,0,0,64.61,3.906,215.7960035,7.682,0
1,1,5/13/2011,17235.15,151315,1,0,0,75.64,3.899,215.9640526,7.682,0
1,1,5/20/2011,15136.78,151315,1,0,0,67.63,3.907,215.7339202,7.682,0
1,1,5/27/2011,15741.6,151315,1,0,0,77.72,3.786,215.5037878,7.682,0
1,1,6/3/2011,16434.15,151315,1,0,0,83,3.699,215.2736553,7.682,0
1,1,6/10/2011,15883.52,151315,1,0,0,83.13,3.648,215.0435229,7.682,0
1,1,6/17/2011,14978.09,151315,1,0,0,86.41,3.637,214.9980596,7.682,0
1,1,6/24/2011,15682.81,151315,1,0,0,83.58,3.594,215.0910982,7.682,0
1,1,7/1/2011,15363.5,151315,1,0,0,85.55,3.524,215.1841368,7.962,0
1,1,7/8/2011,16148.87,151315,1,0,0,85.83,3.48,215.2771754,7.962,0
1,1,7/15/2011,15654.85,151315,1,0,0,88.54,3.575,215.3611087,7.962,0
1,1,7/22/2011,15766.6,151315,1,0,0,85.77,3.651,215.4222784,7.962,0
1,1,7/29/2011,15922.41,151315,1,0,0,86.83,3.682,215.4834482,7.962,0
1,1,8/5/2011,15295.55,151315,1,0,0,91.65,3.684,215.544618,7.962,0
1,1,8/12/2011,14539.79,151315,1,0,0,90.76,3.638,215.6057878,7.962,0
1,1,8/19/2011,14689.24,151315,1,0,0,89.94,3.554,215.6693107,7.962,0
1,1,8/26/2011,14537.37,151315,1,0,0,87.96,3.523,215.7332258,7.962,0
1,1,9/2/2011,15277.27,151315,1,0,0,87.83,3.533,215.7971409,7.962,0
1,1,9/9/2011,17746.68,151315,1,0,0,76,3.546,215.861056,7.962,1
1,1,9/16/2011,18535.48,151315,1,0,0,79.94,3.526,216.0410526,7.962,0
1,1,9/23/2011,17859.3,151315,1,0,0,75.8,3.467,216.3758246,7.962,0
1,1,9/30/2011,18337.68,151315,1,0,0,79.69,3.355,216.7105965,7.962,0
1,1,10/7/2011,20797.58,151315,1,0,0,69.31,3.285,217.0453684,7.866,0
1,1,10/14/2011,23077.55,151315,1,0,0,71.74,3.274,217.3552733,7.866,0
1,1,10/21/2011,23351.8,151315,1,0,0,63.71,3.353,217.5159762,7.866,0
1,1,10/28/2011,31579.9,151315,1,0,0,66.57,3.372,217.6766791,7.866,0
1,1,11/4/2011,39886.06,151315,1,0,0,54.98,3.332,217.837382,7.866,0
1,1,11/11/2011,18689.54,151315,1,0,0,59.11,3.297,217.9980849,7.866,0
1,1,11/18/2011,19050.66,151315,1,0,0,62.25,3.308,218.2205088,7.866,0
1,1,11/25/2011,20911.25,151315,1,0,0,60.14,3.236,218.4676211,7.866,1
1,1,12/2/2011,25293.49,151315,1,0,0,48.91,3.172,218.7147333,7.866,0
1,1,12/9/2011,33305.92,151315,1,0,0,43.93,3.158,218.9618456,7.866,0
1,1,12/16/2011,45773.03,151315,1,0,0,51.63,3.159,219.1794533,7.866,0
1,1,12/23/2011,46788.75,151315,1,0,0,47.96,3.112,219.3577216,7.866,0
1,1,12/30/2011,23350.88,151315,1,0,0,44.55,3.129,219.5359898,7.866,1
1,1,1/6/2012,16567.69,151315,1,0,0,49.01,3.157,219.7142581,7.348,0
1,1,1/13/2012,16894.4,151315,1,0,0,48.53,3.261,219.8925263,7.348,0
1,1,1/20/2012,18365.1,151315,1,0,0,54.11,3.268,219.9856893,7.348,0
1,1,1/27/2012,18378.16,151315,1,0,0,54.26,3.29,220.0788523,7.348,0
1,1,2/3/2012,23510.49,151315,1,0,0,56.55,3.36,220.1720153,7.348,0
1,1,2/10/2012,36988.49,151315,1,0,0,48.02,3.409,220.2651783,7.348,1
1,1,2/17/2012,54060.1,151315,1,0,0,45.32,3.51,220.4257586,7.348,0
1,1,2/24/2012,20124.22,151315,1,0,0,57.25,3.555,220.636902,7.348,0
1,1,3/2/2012,20113.03,151315,1,0,0,60.96,3.63,220.8480454,7.348,0
1,1,3/9/2012,21140.07,151315,1,0,0,58.76,3.669,221.0591887,7.348,0
1,1,3/16/2012,22366.88,151315,1,0,0,64.74,3.734,221.2118132,7.348,0
1,1,3/23/2012,22107.7,151315,1,0,0,65.93,3.787,221.2864126,7.348,0
1,1,3/30/2012,28952.86,151315,1,0,0,67.61,3.845,221.3610119,7.348,0
1,1,4/6/2012,57592.12,151315,1,0,0,70.43,3.891,221.4356112,7.143,0
1,1,4/13/2012,34684.21,151315,1,0,0,69.07,3.891,221.5102105,7.143,0
1,1,4/20/2012,16976.19,151315,1,0,0,66.76,3.877,221.5640737,7.143,0
1,1,4/27/2012,16347.6,151315,1,0,0,67.23,3.814,221.6179368,7.143,0
1,1,5/4/2012,17147.44,151315,1,0,0,75.55,3.749,221.6718,7.143,0
1,1,5/11/2012,18164.2,151315,1,0,0,73.77,3.688,221.7256632,7.143,0
1,1,5/18/2012,18517.79,151315,1,0,0,70.33,3.63,221.742674,7.143,0
1,1,5/25/2012,16963.55,151315,1,0,0,77.22,3.561,221.744944,7.143,0
1,1,6/1/2012,16065.49,151315,1,0,0,77.95,3.501,221.7472139,7.143,0
1,1,6/8/2012,17666,151315,1,0,0,78.3,3.452,221.7494839,7.143,0
1,1,6/15/2012,17558.82,151315,1,0,0,79.35,3.393,221.7626421,7.143,0
1,1,6/22/2012,16633.41,151315,1,0,0,78.39,3.346,221.8030211,7.143,0
1,1,6/29/2012,15722.82,151315,1,0,0,84.88,3.286,221.8434,7.143,0
1,1,7/6/2012,17823.37,151315,1,0,0,81.57,3.227,221.8837789,6.908,0
1,1,7/13/2012,16566.18,151315,1,0,0,77.12,3.256,221.9241579,6.908,0
1,1,7/20/2012,16348.06,151315,1,0,0,80.42,3.311,221.9327267,6.908,0
1,1,7/27/2012,15731.18,151315,1,0,0,82.66,3.407,221.9412954,6.908,0
1,1,8/3/2012,16628.31,151315,1,0,0,86.11,3.417,221.9498642,6.908,0
1,1,8/10/2012,16119.92,151315,1,0,0,85.05,3.494,221.9584329,6.908,0
1,1,8/17/2012,17330.7,151315,1,0,0,84.85,3.571,222.0384109,6.908,0
1,1,8/24/2012,16286.4,151315,1,0,0,77.66,3.62,222.1719457,6.908,0
1,1,8/31/2012,16680.24,151315,1,0,0,80.49,3.638,222.3054805,6.908,0
1,1,9/7/2012,18322.37,151315,1,0,0,83.96,3.73,222.4390153,6.908,1
1,1,9/14/2012,19616.22,151315,1,0,0,74.97,3.717,222.5820193,6.908,0
1,1,9/21/2012,19251.5,151315,1,0,0,69.87,3.721,222.7818386,6.908,0
1,1,9/28/2012,18947.81,151315,1,0,0,76.08,3.666,222.9816579,6.908,0
1,1,10/5/2012,21904.47,151315,1,0,0,68.55,3.617,223.1814772,6.573,0
1,1,10/12/2012,22764.01,151315,1,0,0,62.99,3.601,223.3812965,6.573,0
1,1,10/19/2012,24185.27,151315,1,0,0,67.97,3.594,223.4257233,6.573,0
1,1,10/26/2012,27390.81,151315,1,0,0,69.16,3.506,223.4442513,6.573,0
1,2,2/5/2010,50605.27,151315,1,0,0,42.31,2.572,211.0963582,8.106,0
1,2,2/12/2010,44682.74,151315,1,0,0,38.51,2.548,211.2421698,8.106,1
1,2,2/19/2010,47928.89,151315,1,0,0,39.93,2.514,211.2891429,8.106,0
1,2,2/26/2010,44292.87,151315,1,0,0,46.63,2.561,211.3196429,8.106,0
1,2,3/5/2010,48397.98,151315,1,0,0,46.5,2.625,211.3501429,8.106,0
1,2,3/12/2010,43751.94,151315,1,0,0,57.79,2.667,211.3806429,8.106,0
1,2,3/19/2010,43615.49,151315,1,0,0,54.58,2.72,211.215635,8.106,0
1,2,3/26/2010,41892.55,151315,1,0,0,51.45,2.732,211.0180424,8.106,0
1,2,4/2/2010,47450.5,151315,1,0,0,62.27,2.719,210.8204499,7.808,0
1,2,4/9/2010,46549.73,151315,1,0,0,65.86,2.77,210.6228574,7.808,0
1,2,4/16/2010,45025.02,151315,1,0,0,66.32,2.808,210.4887,7.808,0
1,2,4/23/2010,44418.11,151315,1,0,0,64.84,2.795,210.4391228,7.808,0
1,2,4/30/2010,45971.3,151315,1,0,0,67.41,2.78,210.3895456,7.808,0
1,2,5/7/2010,47903.01,151315,1,0,0,72.55,2.835,210.3399684,7.808,0
1,2,5/14/2010,43675.61,151315,1,0,0,74.78,2.854,210.3374261,7.808,0
1,2,5/21/2010,44319.15,151315,1,0,0,76.44,2.826,210.6170934,7.808,0
1,2,5/28/2010,44619.52,151315,1,0,0,80.44,2.759,210.8967606,7.808,0
1,2,6/4/2010,48754.47,151315,1,0,0,80.69,2.705,211.1764278,7.808,0
1,2,6/11/2010,47089.54,151315,1,0,0,80.43,2.668,211.4560951,7.808,0
1,2,6/18/2010,44428.71,151315,1,0,0,84.11,2.637,211.4537719,7.808,0
1,2,6/25/2010,45299.92,151315,1,0,0,84.34,2.653,211.3386526,7.808,0
1,2,7/2/2010,47077.72,151315,1,0,0,80.91,2.669,211.2235333,7.787,0
1,2,7/9/2010,46752.12,151315,1,0,0,80.48,2.642,211.108414,7.787,0
1,2,7/16/2010,44339.2,151315,1,0,0,83.15,2.623,211.1003854,7.787,0
1,2,7/23/2010,44763.33,151315,1,0,0,83.36,2.608,211.2351443,7.787,0
1,2,7/30/2010,45833.77,151315,1,0,0,81.84,2.64,211.3699032,7.787,0
1,2,8/6/2010,50031.73,151315,1,0,0,87.16,2.627,211.5046621,7.787,0
1,2,8/13/2010,45475.69,151315,1,0,0,87,2.692,211.6394211,7.787,0
1,2,8/20/2010,49754.17,151315,1,0,0,86.65,2.664,211.6033633,7.787,0
1,2,8/27/2010,49623.53,151315,1,0,0,85.22,2.619,211.5673056,7.787,0
1,2,9/3/2010,49015.05,151315,1,0,0,81.21,2.577,211.5312479,7.787,0
1,2,9/10/2010,45182.5,151315,1,0,0,78.69,2.565,211.4951902,7.787,1
1,2,9/17/2010,44681.64,151315,1,0,0,82.11,2.582,211.5224596,7.787,0
1,2,9/24/2010,42477.49,151315,1,0,0,80.94,2.624,211.5972246,7.787,0
1,2,10/1/2010,45829.02,151315,1,0,0,71.89,2.603,211.6719895,7.838,0
1,2,10/8/2010,46387.54,151315,1,0,0,63.93,2.633,211.7467544,7.838,0
1,2,10/15/2010,43110.79,151315,1,0,0,67.18,2.72,211.8137436,7.838,0
1,2,10/22/2010,42371.48,151315,1,0,0,69.86,2.725,211.8612937,7.838,0
1,2,10/29/2010,44081.33,151315,1,0,0,69.64,2.716,211.9088438,7.838,0
1,2,11/5/2010,46381.43,151315,1,0,0,58.74,2.689,211.9563939,7.838,0
1,2,11/12/2010,43194.49,151315,1,0,0,59.61,2.728,212.003944,7.838,0
1,2,11/19/2010,41443.25,151315,1,0,0,51.41,2.771,211.8896737,7.838,0
1,2,11/26/2010,45681.98,151315,1,0,0,64.52,2.735,211.7484333,7.838,1
1,2,12/3/2010,44405.02,151315,1,0,0,49.27,2.708,211.607193,7.838,0
1,2,12/10/2010,46955.82,151315,1,0,0,46.33,2.843,211.4659526,7.838,0
1,2,12/17/2010,49303.28,151315,1,0,0,49.84,2.869,211.4053124,7.838,0
1,2,12/24/2010,59889.32,151315,1,0,0,52.33,2.886,211.4051222,7.838,0
1,2,12/31/2010,35819.83,151315,1,0,0,48.43,2.943,211.4049321,7.838,1
1,2,1/7/2011,43202.29,151315,1,0,0,48.27,2.976,211.4047419,7.742,0
1,2,1/14/2011,39857.4,151315,1,0,0,35.4,2.983,211.4574109,7.742,0
1,2,1/21/2011,41596.99,151315,1,0,0,44.04,3.016,211.8272343,7.742,0
1,2,1/28/2011,41651.01,151315,1,0,0,43.83,3.01,212.1970577,7.742,0
1,2,2/4/2011,46829.12,151315,1,0,0,42.27,2.989,212.5668812,7.742,0
1,2,2/11/2011,47595.35,151315,1,0,0,36.39,3.022,212.9367046,7.742,1
1,2,2/18/2011,49202.06,151315,1,0,0,57.36,3.045,213.2478853,7.742,0
1,2,2/25/2011,46165.25,151315,1,0,0,62.9,3.065,213.535609,7.742,0
1,2,3/4/2011,53035.54,151315,1,0,0,59.58,3.288,213.8233327,7.742,0
1,2,3/11/2011,48465.72,151315,1,0,0,53.56,3.459,214.1110564,7.742,0
1,2,3/18/2011,45222.3,151315,1,0,0,62.76,3.488,214.3627114,7.742,0
1,2,3/25/2011,44293.54,151315,1,0,0,69.97,3.473,214.5999389,7.742,0
1,2,4/1/2011,46991.58,151315,1,0,0,59.17,3.524,214.8371664,7.682,0
1,2,4/8/2011,48501.79,151315,1,0,0,67.84,3.622,215.0743939,7.682,0
1,2,4/15/2011,44464.74,151315,1,0,0,71.27,3.743,215.2918561,7.682,0
1,2,4/22/2011,46544.56,151315,1,0,0,72.99,3.807,215.4599053,7.682,0
1,2,4/29/2011,43682.41,151315,1,0,0,72.03,3.81,215.6279544,7.682,0
1,2,5/6/2011,50139.92,151315,1,0,0,64.61,3.906,215.7960035,7.682,0
1,2,5/13/2011,44274.15,151315,1,0,0,75.64,3.899,215.9640526,7.682,0
1,2,5/20/2011,44302.11,151315,1,0,0,67.63,3.907,215.7339202,7.682,0
1,2,5/27/2011,45072.11,151315,1,0,0,77.72,3.786,215.5037878,7.682,0
